FRAGMENT	FPFMIN	FPSMIN	FPFMAX	FPSMAX	FPFAVG	FPSAVG
NJQRAAHKQQPUIT-UHFFFAOYSA-N~A0QP85	0.12	0.40	0.12	0.40	0.12	0.40
GFFGJBXGBJISGV-UHFFFAOYSA-N~A0QP85	0.50	0.50	0.50	0.50	0.50	0.50
IKHGUXGNUITLKF-UHFFFAOYSA-N~O68601	0.00	0.00	1.00	1.00	0.11	0.07
IBESLJAKWGLDDJ-UHFFFAOYSA-N~A7TH32	1.00	0.00	1.00	1.00	1.00	0.59
CYZZKTRFOOKUMT-UHFFFAOYSA-N~A0R560	0.32	0.30	0.32	0.30	0.32	0.30
RAIPHJJURHTUIC-UHFFFAOYSA-N~Q4L5E3	0.00	0.00	0.00	0.50	0.00	0.28
FIOOXZOSOOFWSQ-UHFFFAOYSA-N~A7TH32	1.00	1.00	1.00	1.00	1.00	1.00
QPMCUNAXNMSGTK-UHFFFAOYSA-N~A7TH32	1.00	1.00	1.00	1.00	1.00	1.00
GZRKXKUVVPSREJ-UHFFFAOYSA-N~Q4L5E3	0.00	0.50	1.00	1.00	0.33	0.67
GLUUGHFHXGJENI-UHFFFAOYSA-N~Q4L5E3	0.33	1.00	1.00	1.00	0.55	1.00
TZJGKUCHNFFHGN-UHFFFAOYSA-N~O42629	0.83	1.00	0.83	1.00	0.83	1.00
JUJWROOIHBZHMG-UHFFFAOYSA-N~Q4L5E3	0.33	1.00	1.00	1.00	0.55	1.00
AVDSWVVJESAEQH-UHFFFAOYSA-N~A7TH32	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q06418	0.00	0.00	1.00	0.50	0.50	0.08
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~A1R8G0	0.00	0.00	1.00	1.00	0.75	0.46
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~A1R8G0	0.00	0.00	1.00	1.00	0.75	0.43
QRTDTRCGZCHEER-UHFFFAOYSA-N~A1R8G0	0.37	0.33	0.77	0.67	0.50	0.46
PKRTWUQHAOJXBO-UHFFFAOYSA-N~A1R8G0	0.34	0.27	0.77	0.58	0.46	0.39
QCHXLHKARBTJRC-UHFFFAOYSA-N~A1R8G0	0.18	0.18	0.67	0.56	0.34	0.34
DOMXBIBBBIULRS-UHFFFAOYSA-N~A1R8G0	0.21	0.27	0.65	0.70	0.34	0.41
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q9Y468	1.00	0.00	1.00	1.00	1.00	0.33
RTZKZFJDLAIYFH-UHFFFAOYSA-N~A1R8G0	1.00	0.00	1.00	1.00	1.00	0.33
XXJWXESWEXIICW-UHFFFAOYSA-N~A1R8G0	1.00	0.00	1.00	1.00	1.00	0.33
XXJWXESWEXIICW-UHFFFAOYSA-N~Q9Y468	0.33	1.00	1.00	1.00	0.55	1.00
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P17865	0.54	0.73	0.86	1.00	0.66	0.82
UYTPUPDQBNUYGX-UHFFFAOYSA-N~P17865	0.12	0.40	0.50	0.75	0.30	0.51
DHMQDGOQFOQNFH-UHFFFAOYSA-N~Q8GWS0	0.00	0.50	0.00	0.50	0.00	0.50
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q58806	0.00	0.00	1.00	1.00	0.50	0.33
JWEZZFQTYSYUAW-UHFFFAOYSA-N~Q8GWS0	0.00	0.12	0.00	0.12	0.00	0.12
LYIIBVSRGJSHAV-UHFFFAOYSA-N~Q8GWS0	0.00	0.50	0.00	0.50	0.00	0.50
KABXUUFDPUOJMW-UHFFFAOYSA-N~Q8GWS0	0.39	0.50	0.39	0.50	0.39	0.50
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q8NCM8	0.17	0.00	1.00	0.00	0.42	0.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q63T80	1.00	1.00	1.00	1.00	1.00	1.00
HUMNYLRZRPPJDN-UHFFFAOYSA-N~P42574	1.00	0.00	1.00	0.00	1.00	0.00
XXJWXESWEXIICW-UHFFFAOYSA-N~Q99P86	0.00	0.00	0.00	0.00	0.00	0.00
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q8NCM8	0.29	0.23	0.29	0.23	0.29	0.23
QJZUKDFHGGYHMC-UHFFFAOYSA-N~P42574	1.00	0.00	1.00	0.00	1.00	0.00
HUMNYLRZRPPJDN-UHFFFAOYSA-N~A9WDG5	0.09	0.25	0.09	0.25	0.09	0.25
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q99P86	1.00	0.00	1.00	0.00	1.00	0.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q99P86	0.00	0.00	0.00	0.00	0.00	0.00
WPYMKLBDIGXBTP-UHFFFAOYSA-N~P42574	1.00	0.00	1.00	0.00	1.00	0.00
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q99P86	1.00	0.00	1.00	0.00	1.00	0.00
GATNOFPXSDHULC-UHFFFAOYSA-N~P0A5T1	0.00	0.00	1.00	1.00	0.40	0.32
LYCAIKOWRPUZTN-UHFFFAOYSA-N~P0CO23	0.00	0.00	1.00	1.00	0.71	0.48
IKHGUXGNUITLKF-UHFFFAOYSA-N~P0A5T1	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P0CO23	0.00	0.00	1.00	1.00	0.48	0.14
IKHGUXGNUITLKF-UHFFFAOYSA-N~D5SQH6	1.00	1.00	1.00	1.00	1.00	1.00
CYZZKTRFOOKUMT-UHFFFAOYSA-N~P0A5T1	1.00	1.00	1.00	1.00	1.00	1.00
XXJWXESWEXIICW-UHFFFAOYSA-N~P17865	1.00	0.00	1.00	1.00	1.00	0.33
RTZKZFJDLAIYFH-UHFFFAOYSA-N~P17865	1.00	1.00	1.00	1.00	1.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~P17865	1.00	1.00	1.00	1.00	1.00	1.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P17865	1.00	1.00	1.00	1.00	1.00	1.00
VLKZOEOYAKHREP-UHFFFAOYSA-N~P42574	1.00	1.00	1.00	1.00	1.00	1.00
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N~P42574	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9KAQ0	0.00	0.33	1.00	1.00	0.17	0.56
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P15658	0.00	0.00	1.00	1.00	0.86	0.50
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P15658	1.00	0.00	1.00	1.00	1.00	0.75
KBVSUNBCTPQWJL-UHFFFAOYSA-N~P15658	1.00	0.00	1.00	1.00	1.00	0.71
CHLICZRVGGXEOD-UHFFFAOYSA-N~Q01064	0.00	0.00	0.00	0.00	0.00	0.00
NZYHOIVONUQSLS-UHFFFAOYSA-N~P15658	0.00	0.00	1.00	1.00	0.44	0.31
IKHGUXGNUITLKF-UHFFFAOYSA-N~P15658	1.00	0.00	1.00	1.00	1.00	0.73
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P15658	1.00	0.00	1.00	1.00	1.00	0.94
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P15658	1.00	0.00	1.00	1.00	1.00	0.94
DYBAQWLAKFCVBP-UHFFFAOYSA-N~P15658	1.00	1.00	1.00	1.00	1.00	1.00
WHKXNWSUYDTVJK-UHFFFAOYSA-N~P15658	0.00	0.14	1.00	1.00	0.39	0.49
SOSNZLGVKIPOSH-UHFFFAOYSA-N~P15658	0.11	0.22	1.00	1.00	0.48	0.57
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P15658	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P15658	1.00	1.00	1.00	1.00	1.00	1.00
JVWDWSZRPWGRNI-UHFFFAOYSA-N~P15658	0.00	0.11	0.83	1.00	0.35	0.41
UIUJIQZEACWQSV-UHFFFAOYSA-N~P18548	0.67	1.00	0.67	1.00	0.67	1.00
BJCLOXWGWKEQQW-UHFFFAOYSA-N~P15658	0.14	0.22	0.79	0.86	0.39	0.49
PCSMJKASWLYICJ-UHFFFAOYSA-N~P18548	0.00	0.50	0.00	0.50	0.00	0.50
IKHGUXGNUITLKF-UHFFFAOYSA-N~E8T502	0.00	1.00	1.00	1.00	0.47	1.00
VGMVBPQOACUDRU-UHFFFAOYSA-N~E8T502	0.14	0.50	1.00	1.00	0.43	0.70
YZWVMKLQNYGKLJ-UHFFFAOYSA-N~E8T502	1.00	0.00	1.00	1.00	1.00	0.33
RRQYJINTUHWNHW-UHFFFAOYSA-N~E8T502	1.00	0.00	1.00	1.00	1.00	0.33
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q8Y989	1.00	1.00	1.00	1.00	1.00	1.00
JOAKUIIGLMLEGB-UHFFFAOYSA-N~A5J299	0.36	0.33	0.63	1.00	0.50	0.47
OPTASPLRGRRNAP-UHFFFAOYSA-N~A5J299	0.00	0.33	1.00	1.00	0.33	0.55
SFRDXVJWXWOTEW-UHFFFAOYSA-N~E8T502	0.00	0.00	1.00	1.00	0.19	0.16
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q8Y989	0.00	0.00	0.00	0.00	0.00	0.00
HNPYBPXXPMVWIY-UHFFFAOYSA-N~A5J299	0.44	0.58	0.44	0.58	0.44	0.58
GFFGJBXGBJISGV-UHFFFAOYSA-N~A5J299	0.50	0.50	1.00	1.00	0.70	0.70
MXRBVRXQDKNIBH-UHFFFAOYSA-N~H9XGD6	0.00	0.00	1.00	1.00	0.30	0.13
IKHGUXGNUITLKF-UHFFFAOYSA-N~H9XGD6	0.00	0.00	1.00	1.00	0.64	0.38
BDERNNFJNOPAEC-UHFFFAOYSA-N~Q99683	1.00	1.00	1.00	1.00	1.00	1.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~Q10588	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q10588	1.00	1.00	1.00	1.00	1.00	1.00
SQOXZSRJWWMMCL-UHFFFAOYSA-N~Q10588	1.00	1.00	1.00	1.00	1.00	1.00
LYCAIKOWRPUZTN-UHFFFAOYSA-N~Q10588	0.00	0.00	0.50	0.67	0.17	0.22
ZUKPVRWZDMRIEO-UHFFFAOYSA-N~C5A7Z5	0.30	0.50	1.00	1.00	0.45	0.67
DHMQDGOQFOQNFH-UHFFFAOYSA-N~C5A7Z5	0.00	0.50	1.00	1.00	0.60	0.80
KABXUUFDPUOJMW-UHFFFAOYSA-N~C5A7Z5	0.44	0.33	0.91	0.88	0.65	0.63
JWEZZFQTYSYUAW-UHFFFAOYSA-N~C5A7Z5	0.00	0.50	1.00	1.00	0.60	0.80
LYIIBVSRGJSHAV-UHFFFAOYSA-N~C5A7Z5	0.00	0.50	1.00	1.00	0.60	0.80
VCYYRDKGHLOTQU-UHFFFAOYSA-N~Q10588	1.00	0.00	1.00	1.00	1.00	0.45
MDHFEQWZBNXIPB-UHFFFAOYSA-N~C5A7Z5	0.33	0.50	1.00	1.00	0.57	0.65
KTFIIPGBMUUNEO-UHFFFAOYSA-N~Q10588	1.00	0.00	1.00	1.00	1.00	0.45
GUXGAKDINXMYNZ-UHFFFAOYSA-N~C5A7Z5	0.50	0.42	0.83	0.80	0.63	0.63
BOTPEONKTLJMSH-UHFFFAOYSA-N~C5A7Z5	0.33	0.67	1.00	1.00	0.73	0.87
WLNHKRJWDKPSIL-UHFFFAOYSA-N~C5A7Z5	0.50	0.45	0.79	0.90	0.63	0.68
YQCROAODSKXWOY-UHFFFAOYSA-N~C5A7Z5	0.31	0.38	0.90	0.83	0.57	0.59
CUKWUVLQXJUCFS-UHFFFAOYSA-N~C5A7Z5	0.31	0.36	0.90	0.83	0.57	0.53
GFFGJBXGBJISGV-UHFFFAOYSA-N~P19337	0.00	0.00	0.17	0.67	0.06	0.25
IKHGUXGNUITLKF-UHFFFAOYSA-N~P19337	1.00	1.00	1.00	1.00	1.00	1.00
PKRTWUQHAOJXBO-UHFFFAOYSA-N~Q7DDI9	0.24	0.25	0.24	0.25	0.24	0.25
CYZZKTRFOOKUMT-UHFFFAOYSA-N~P08200	0.00	0.00	1.00	0.00	0.33	0.00
QCHXLHKARBTJRC-UHFFFAOYSA-N~Q7DDI9	0.43	0.17	0.43	0.17	0.43	0.17
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q9Y5Y6	1.00	0.00	1.00	0.00	1.00	0.00
QRTDTRCGZCHEER-UHFFFAOYSA-N~Q7DDI9	0.70	0.38	0.70	0.38	0.70	0.38
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q9WVG6	1.00	1.00	1.00	1.00	1.00	1.00
DOMXBIBBBIULRS-UHFFFAOYSA-N~Q7DDI9	0.60	0.25	0.60	0.25	0.60	0.25
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q9Y5Y6	0.00	0.00	1.00	0.00	0.17	0.00
CQIUZHAQYHXKRY-UHFFFAOYSA-N~P30047	0.09	0.29	0.92	1.00	0.45	0.66
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O43278	0.00	0.00	1.00	1.00	0.50	0.33
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q9WVG6	1.00	1.00	1.00	1.00	1.00	1.00
XXJWXESWEXIICW-UHFFFAOYSA-N~Q9WVG6	1.00	1.00	1.00	1.00	1.00	1.00
YBWLIIDAKFNRBL-UHFFFAOYSA-N~Q18A66	1.00	1.00	1.00	1.00	1.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q9WVG6	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q18A66	0.00	0.50	0.00	0.50	0.00	0.50
PKDPUENCROCRCH-UHFFFAOYSA-N~O00329	0.33	0.00	0.33	0.00	0.33	0.00
BDAGIHXWWSANSR-UHFFFAOYSA-N~P33643	0.00	0.00	0.00	0.00	0.00	0.00
RTZKZFJDLAIYFH-UHFFFAOYSA-N~O43278	0.00	1.00	0.00	1.00	0.00	1.00
XXJWXESWEXIICW-UHFFFAOYSA-N~O43278	0.00	1.00	0.00	1.00	0.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~O43278	0.00	1.00	0.00	1.00	0.00	1.00
UIUJIQZEACWQSV-UHFFFAOYSA-N~Q92CH2	0.30	0.50	0.30	0.50	0.30	0.50
PCSMJKASWLYICJ-UHFFFAOYSA-N~Q92CH2	0.55	0.38	0.55	0.38	0.55	0.38
QCEGOCIIRYTCQH-UHFFFAOYSA-N~A6T4N9	0.00	0.00	0.00	0.00	0.00	0.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~Q10588	0.43	0.80	0.43	0.80	0.43	0.80
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q92CH2	0.00	0.00	0.00	0.00	0.00	0.00
AHZVGADFMXTGBU-UHFFFAOYSA-N~P13661	1.00	1.00	1.00	1.00	1.00	1.00
KEIVLHIFSZBKGU-UHFFFAOYSA-N~P0A5R1	0.00	0.50	0.00	0.50	0.00	0.50
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q10588	0.27	1.00	0.27	1.00	0.27	1.00
HNQIVZYLYMDVSB-UHFFFAOYSA-N~P0A5R1	1.00	1.00	1.00	1.00	1.00	1.00
CYZZKTRFOOKUMT-UHFFFAOYSA-N~Q10588	0.40	0.80	0.40	0.80	0.40	0.80
FXLOVSHXALFLKQ-UHFFFAOYSA-N~P23526	1.00	1.00	1.00	1.00	1.00	1.00
YNAVUWVOSKDBBP-UHFFFAOYSA-N~P23526	1.00	1.00	1.00	1.00	1.00	1.00
XOBKSJJDNFUZPF-UHFFFAOYSA-N~O60701	1.00	0.00	1.00	0.00	1.00	0.00
CAQYAZNFWDDMIT-UHFFFAOYSA-N~O60701	1.00	0.00	1.00	0.00	1.00	0.00
RTZKZFJDLAIYFH-UHFFFAOYSA-N~O60701	0.00	0.00	1.00	1.00	0.67	0.67
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q96XE7	0.00	0.50	0.00	0.50	0.00	0.50
TVMXDCGIABBOFY-UHFFFAOYSA-N~P04058	0.50	0.33	0.50	0.33	0.50	0.33
RDOXTESZEPMUJZ-UHFFFAOYSA-N~P23526	0.00	0.50	0.00	0.50	0.00	0.50
YNAVUWVOSKDBBP-UHFFFAOYSA-N~Q96XE7	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q8IDI4	0.00	0.50	0.00	0.50	0.00	0.50
WTKZEGDFNFYCGP-UHFFFAOYSA-N~P51449	1.00	0.00	1.00	1.00	1.00	0.17
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q8IDI4	0.67	0.60	0.67	0.60	0.67	0.60
GFFGJBXGBJISGV-UHFFFAOYSA-N~A0A0S4VB05	0.00	0.00	1.00	1.00	0.17	0.38
IMNFDUFMRHMDMM-UHFFFAOYSA-N~Q8U2X0	1.00	0.25	1.00	0.25	1.00	0.25
TVMXDCGIABBOFY-UHFFFAOYSA-N~Q8U2X0	0.00	0.00	1.00	0.25	0.33	0.08
VLKZOEOYAKHREP-UHFFFAOYSA-N~Q8U2X0	0.00	0.00	0.00	0.00	0.00	0.00
NBBJYMSMWIIQGU-UHFFFAOYSA-N~P45066	0.00	0.00	0.00	0.00	0.00	0.00
UKDWXNRCKBVDNJ-UHFFFAOYSA-N~P45066	0.92	1.00	0.92	1.00	0.92	1.00
ABLZXFCXXLZCGV-UHFFFAOYSA-N~P45066	0.00	0.50	0.00	0.50	0.00	0.50
IKHGUXGNUITLKF-UHFFFAOYSA-N~P45066	0.00	0.00	1.00	1.00	0.50	0.50
ISAKRJDGNUQOIC-UHFFFAOYSA-N~P45066	0.00	0.00	1.00	1.00	0.33	0.33
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q9UHB9	1.00	0.00	1.00	1.00	1.00	0.33
NJQRAAHKQQPUIT-UHFFFAOYSA-N~P42556	0.20	0.50	0.50	1.00	0.35	0.75
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P0A9V3	0.43	0.40	0.72	0.67	0.58	0.55
GFFGJBXGBJISGV-UHFFFAOYSA-N~P42556	0.42	0.50	0.67	0.80	0.58	0.65
UFULAYFCSOUIOV-UHFFFAOYSA-N~Q1EMV2	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~P0A9V3	0.00	0.25	1.00	1.00	0.32	0.48
HGINCPLSRVDWNT-UHFFFAOYSA-N~P45066	1.00	0.00	1.00	0.00	1.00	0.00
WPYMKLBDIGXBTP-UHFFFAOYSA-N~P28845	0.50	0.67	0.50	0.67	0.50	0.67
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q8UH15	1.00	1.00	1.00	1.00	1.00	1.00
IQLMNJFYNWPSST-UHFFFAOYSA-N~Q8UH15	0.67	0.50	0.67	0.50	0.67	0.50
NIXOWILDQLNWCW-UHFFFAOYSA-N~P45066	1.00	1.00	1.00	1.00	1.00	1.00
QRTDTRCGZCHEER-UHFFFAOYSA-N~P29990	0.00	0.25	0.80	1.00	0.27	0.50
FFMZJRIUKRMUJN-UHFFFAOYSA-N~Q8UH15	0.80	0.60	0.80	0.60	0.80	0.60
HUMNYLRZRPPJDN-UHFFFAOYSA-N~P28845	0.75	1.00	0.75	1.00	0.75	1.00
PKRTWUQHAOJXBO-UHFFFAOYSA-N~P29990	0.00	0.00	0.67	1.00	0.22	0.33
JUJWROOIHBZHMG-UHFFFAOYSA-N~P02766	1.00	0.00	1.00	0.00	1.00	0.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~G5CT11	1.00	0.00	1.00	1.00	1.00	0.62
QCHXLHKARBTJRC-UHFFFAOYSA-N~P29990	0.00	0.00	0.33	0.50	0.11	0.17
DOMXBIBBBIULRS-UHFFFAOYSA-N~P29990	0.00	0.33	0.40	0.67	0.13	0.50
DZHHXMZCVDTUBX-UHFFFAOYSA-N~P29990	0.25	0.50	0.67	0.75	0.42	0.64
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q70KH6	1.00	0.00	1.00	0.00	1.00	0.00
GLUUGHFHXGJENI-UHFFFAOYSA-N~Q70KH6	0.00	0.00	0.00	0.00	0.00	0.00
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q70KH6	0.00	0.33	0.00	0.33	0.00	0.33
NRNCQWQVCPBMII-UHFFFAOYSA-N~Q70KH6	0.40	0.25	0.40	0.25	0.40	0.25
WFCSWCVEJLETKA-UHFFFAOYSA-N~Q70KH6	0.00	0.50	0.00	0.50	0.00	0.50
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q9A0T4	1.00	0.00	1.00	1.00	1.00	0.50
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q6Q004	0.00	0.00	1.00	0.00	0.33	0.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~O94856	1.00	1.00	1.00	1.00	1.00	1.00
HFJRKMMYBMWEAD-UHFFFAOYSA-N~O64587	0.07	0.00	0.56	0.60	0.33	0.19
MXRBVRXQDKNIBH-UHFFFAOYSA-N~O94856	0.00	0.00	0.00	0.00	0.00	0.00
PYLWMHQQBFSUBP-UHFFFAOYSA-N~P02766	0.00	0.50	0.00	0.50	0.00	0.50
BGHCVCJVXZWKCC-UHFFFAOYSA-N~O64587	0.00	0.00	0.64	0.60	0.26	0.21
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q13526	1.00	1.00	1.00	1.00	1.00	1.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~P26935	0.00	0.00	1.00	1.00	0.11	0.25
BDERNNFJNOPAEC-UHFFFAOYSA-N~P51449	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~A0A0H2UP74	0.00	0.20	0.17	0.50	0.06	0.34
CYZZKTRFOOKUMT-UHFFFAOYSA-N~O27099	0.41	0.36	0.85	1.00	0.63	0.59
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q1XA76	1.00	0.00	1.00	1.00	1.00	0.33
LZDKZFUFMNSQCJ-UHFFFAOYSA-N~Q1XA76	1.00	0.00	1.00	1.00	1.00	0.33
RRQYJINTUHWNHW-UHFFFAOYSA-N~Q1XA76	1.00	1.00	1.00	1.00	1.00	1.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q1XA76	1.00	0.00	1.00	1.00	1.00	0.33
XXJWXESWEXIICW-UHFFFAOYSA-N~Q1XA76	1.00	1.00	1.00	1.00	1.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q1XA76	1.00	0.00	1.00	1.00	1.00	0.33
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q38912	0.86	0.86	0.86	0.86	0.86	0.86
GTAKOUPXIUWZIA-UHFFFAOYSA-N~Q1XA76	1.00	1.00	1.00	1.00	1.00	1.00
WFSMVVDJSNMRAR-UHFFFAOYSA-N~Q1XA76	1.00	1.00	1.00	1.00	1.00	1.00
UYTPUPDQBNUYGX-UHFFFAOYSA-N~Q38912	0.43	0.80	0.43	0.80	0.43	0.80
IKHGUXGNUITLKF-UHFFFAOYSA-N~O64587	0.00	0.00	1.00	1.00	0.71	0.29
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O64587	1.00	0.00	1.00	1.00	1.00	0.67
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P65871	1.00	1.00	1.00	1.00	1.00	1.00
YNAVUWVOSKDBBP-UHFFFAOYSA-N~P51449	1.00	1.00	1.00	1.00	1.00	1.00
FDGQSTZJBFJUBT-UHFFFAOYSA-N~O27099	0.50	0.83	0.85	1.00	0.65	0.89
IKHGUXGNUITLKF-UHFFFAOYSA-N~P65871	1.00	0.00	1.00	1.00	1.00	0.60
WGQKYBSKWIADBV-UHFFFAOYSA-N~P51449	1.00	1.00	1.00	1.00	1.00	1.00
HVCNXQOWACZAFN-UHFFFAOYSA-N~P51449	0.50	0.67	0.50	0.67	0.50	0.67
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~O15392	0.00	0.00	1.00	1.00	0.71	0.48
AMIMRNSIRUDHCM-UHFFFAOYSA-N~P00157	1.00	0.00	1.00	1.00	1.00	0.33
BARWEEKFEVZDLU-UHFFFAOYSA-N~G1C794	0.00	0.20	0.00	0.20	0.00	0.20
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~O15392	0.00	0.00	1.00	1.00	0.33	0.17
KZVAAIRBJJYZOW-UHFFFAOYSA-N~Q9BZX2	0.62	0.33	0.62	0.33	0.62	0.33
FGEPRNXUNITOCW-UHFFFAOYSA-N~G1C794	1.00	1.00	1.00	1.00	1.00	1.00
DOMXBIBBBIULRS-UHFFFAOYSA-N~Q9BZX2	0.36	0.44	0.36	0.44	0.36	0.44
RIOZZVGDMZNWEV-UHFFFAOYSA-N~G1C794	0.08	0.29	0.56	0.75	0.24	0.44
PDRKJMKYLKORDE-UHFFFAOYSA-N~G1C794	0.18	0.20	0.64	0.60	0.32	0.36
QRTDTRCGZCHEER-UHFFFAOYSA-N~Q9BZX2	0.54	0.60	0.54	0.60	0.54	0.60
PKRTWUQHAOJXBO-UHFFFAOYSA-N~Q9BZX2	0.58	0.50	0.58	0.50	0.58	0.50
QCHXLHKARBTJRC-UHFFFAOYSA-N~Q9BZX2	0.40	0.17	0.40	0.17	0.40	0.17
XXJWXESWEXIICW-UHFFFAOYSA-N~P60474	0.00	0.00	0.00	0.00	0.00	0.00
COZFPLYBZGQEEM-UHFFFAOYSA-N~P60474	1.00	0.00	1.00	0.00	1.00	0.00
CQMDBLRKZWOZIW-UHFFFAOYSA-N~P60474	1.00	0.00	1.00	0.00	1.00	0.00
JRRYKZBKIDSIAO-UHFFFAOYSA-N~P60474	1.00	0.00	1.00	0.00	1.00	0.00
KBVSUNBCTPQWJL-UHFFFAOYSA-N~B7GNN8	0.00	0.67	0.00	0.67	0.00	0.67
IKHGUXGNUITLKF-UHFFFAOYSA-N~B7GNN8	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~B7GNN8	0.33	0.75	0.33	0.75	0.33	0.75
GWUHLJYZGOAMBL-UHFFFAOYSA-N~B7GNN8	1.00	1.00	1.00	1.00	1.00	1.00
ANVIVNNVGFGYQX-UHFFFAOYSA-N~B7GNN8	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q2SWD3	0.00	0.33	0.00	0.33	0.00	0.33
RXVGQIBJNXFOOI-UHFFFAOYSA-N~P00519	0.00	0.50	0.00	0.50	0.00	0.50
DYBAQWLAKFCVBP-UHFFFAOYSA-N~A0A0M3KKW8	1.00	0.00	1.00	0.00	1.00	0.00
RBOFGEFNFKNYQR-UHFFFAOYSA-N~A0A0M3KKW8	1.00	1.00	1.00	1.00	1.00	1.00
USIUVYZYUHIAEV-UHFFFAOYSA-N~O60885	0.43	0.33	1.00	0.75	0.62	0.53
ZOFRRNUENOHELM-UHFFFAOYSA-N~P15085	1.00	1.00	1.00	1.00	1.00	1.00
JYCJAOVOWUTEAU-UHFFFAOYSA-N~G1C794	1.00	1.00	1.00	1.00	1.00	1.00
OCKLDMXNAWIJHV-UHFFFAOYSA-N~P15085	0.29	0.40	0.29	0.40	0.29	0.40
AHZVGADFMXTGBU-UHFFFAOYSA-N~G1C794	1.00	1.00	1.00	1.00	1.00	1.00
DXGAIOIQACHYRK-UHFFFAOYSA-N~P15085	0.83	0.80	0.83	0.80	0.83	0.80
